"method","dataset","selection","group","instance","auc","bedroc_20","ef_0.05","ef_0.01","ef_0.005"
"method_rdkit_maccs_tanimoto","10.1021%2Fjm500132p","random_02_30_100_20_4900_M","PXR_Agonist","004","0.787714303022915","0.5438458036598437","10.570877531340404","52.63865546218488","103.17176470588235"
"method_rdkit_maccs_tanimoto","10.1021%2Fjm500132p","random_02_30_100_20_4900_M","PXR_Agonist","005","0.84748224836035","0.7444354327514016","14.718723037100949","73.29323308270678","143.65473684210528"
"method_rdkit_maccs_tanimoto","10.1021%2Fjm500132p","random_02_30_100_20_4900_M","PXR_Agonist","006","0.9518762935751898","0.8518412902085987","16.82830025884383","83.79806659505907","164.24421052631578"
"method_rdkit_maccs_tanimoto","10.1021%2Fjm500132p","random_02_30_100_20_4900_M","PXR_Agonist","007","0.8591788433834059","0.684931499511029","13.997131147540983","59.74285714285715","117.096"
"method_rdkit_maccs_tanimoto","10.1021%2Fjm500132p","random_02_30_100_20_4900_M","PXR_Agonist","008","0.8631513903192529","0.6539113738390345","13.985655737704917","54.719387755102034","107.25"
"method_rdkit_maccs_tanimoto","10.1021%2Fjm500132p","random_02_30_100_20_4900_M","PXR_Agonist","009","0.8282565586294384","0.6560358372097044","12.621225194132872","62.848549946294305","123.18315789473684"
"method_rdkit_maccs_tanimoto","10.1021%2Fjm500132p","random_02_30_100_20_4900_M","PXR_Agonist","010","0.8943897253438888","0.7780254922990032","15.760353753235549","73.24812030075188","143.5663157894737"
"method_rdkit_tt_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","5HT1F_Agonist","001","0.9412653061224276","0.8749410714553976","18.0","88.56","118.08"
"method_rdkit_tt_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","5HT1F_Agonist","002","0.9427040816326361","0.8044767713656631","16.0","68.88","137.76"
"method_rdkit_tt_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","5HT1F_Agonist","003","0.9176224489795621","0.7694074263295526","17.0","63.96","88.56"
"method_rdkit_tt_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","5HT1F_Agonist","004","0.9474387755101837","0.8604448804565067","17.0","83.64","147.6"
"method_rdkit_tt_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","5HT1F_Agonist","005","0.9164285714285455","0.7472002378972521","16.0","68.88","88.56"
"method_rdkit_tt_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","5HT1F_Agonist","006","0.9168061224489655","0.8275795458110813","17.0","78.72","157.44"
"method_rdkit_tt_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","5HT1F_Agonist","007","0.9719999999999885","0.9029796360842637","18.0","88.56","137.76"
"method_rdkit_tt_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","5HT1F_Agonist","008","0.9583673469387568","0.8935092309004941","18.0","78.72","147.6"
"method_rdkit_tt_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","5HT1F_Agonist","009","0.9522959183673322","0.8690671110378034","18.0","83.64","157.44"
"method_rdkit_tt_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","5HT1F_Agonist","010","0.9599183673469267","0.8024928038800054","17.0","59.04","118.08"
"method_rdkit_tt_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","MTR1B_Agonist","001","0.9803673469387709","0.8626846754408758","17.0","73.8","147.6"
"method_rdkit_tt_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","MTR1B_Agonist","002","0.9851122448979553","0.8868525351141944","19.0","73.8","118.08"
"method_rdkit_tt_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","MTR1B_Agonist","003","0.9951938775510204","0.9268968050320133","20.0","78.72","137.76"
"method_rdkit_tt_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","MTR1B_Agonist","004","0.9931428571428572","0.8934242999265432","20.0","68.88","118.08"
"method_rdkit_tt_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","MTR1B_Agonist","005","0.99288775510204","0.9286637394921882","19.0","88.56","167.28"
"method_rdkit_tt_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","MTR1B_Agonist","006","0.9856734693877541","0.8610428628278646","18.0","73.8","127.92"
"method_rdkit_tt_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","MTR1B_Agonist","007","0.9973061224489796","0.9525148328776089","20.0","78.72","147.6"
"method_rdkit_tt_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","MTR1B_Agonist","008","0.9870204081632655","0.8920570401857909","18.0","78.72","137.76"
"method_rdkit_tt_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","MTR1B_Agonist","009","0.9976734693877551","0.96050409195935","20.0","88.56","147.6"
"method_rdkit_tt_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","MTR1B_Agonist","010","0.9927959183673455","0.9416445734450011","19.0","93.47999999999999","157.44"
"method_rdkit_tt_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","OPRM_Agonist","001","0.993132653061224","0.9241745267873871","19.0","83.64","147.6"
"method_rdkit_tt_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","OPRM_Agonist","002","0.9885918367346942","0.8853051249917177","18.0","83.64","147.6"
"method_rdkit_tt_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","OPRM_Agonist","003","0.9905408163265299","0.9058605223331331","18.0","83.64","147.6"
"method_rdkit_tt_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","OPRM_Agonist","004","0.9836836734693871","0.8783944317988691","18.0","78.72","147.6"
"method_rdkit_tt_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","OPRM_Agonist","005","0.9740510204081525","0.9075286176201032","19.0","83.64","127.92"
"method_rdkit_tt_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","OPRM_Agonist","006","0.8629693877550676","0.797678572649795","16.0","73.8","147.6"
"method_rdkit_tt_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","OPRM_Agonist","007","0.9501530612244729","0.8949497826429158","18.0","88.56","167.28"
"method_rdkit_tt_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","OPRM_Agonist","008","0.9984387755102041","0.9725545482231799","20.0","93.47999999999999","167.28"
"method_rdkit_tt_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","OPRM_Agonist","009","0.9991326530612245","0.9835222225836625","20.0","98.4","147.6"
"method_rdkit_tt_tanimoto","10.1016%2Fj.ymeth.2014.11.015","random_02_30_100_20_4900_M","OPRM_Agonist","010","0.9294693877550763","0.8329296026699538","17.0","73.8","147.6"
"method_rdkit_tt_tanimoto","10.1021%2Fci200412p","random_02_30_100_20_4900_M","5HT2B_Antagonist","001","0.8371530612244572","0.6202198285973547","13.0","54.120000000000005","98.4"
"method_rdkit_tt_tanimoto","10.1021%2Fci200412p","random_02_30_100_20_4900_M","5HT2B_Antagonist","002","0.8278367346938438","0.5595464896042192","12.0","44.28","59.04"
"method_rdkit_tt_tanimoto","10.1021%2Fci200412p","random_02_30_100_20_4900_M","5HT2B_Antagonist","003","0.8548877551020072","0.7487925202256859","15.0","73.8","127.92"
